timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659979416422,183,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1326,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,183,0,140
1659979416470,175,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1327,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,175,0,132
1659979416518,178,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1328,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,178,0,135
1659979416582,173,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1329,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,173,0,130
1659979416631,167,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1330,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,167,0,122
1659979416670,168,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1331,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,168,0,128
1659979416718,178,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1332,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,178,0,136
1659979416775,183,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1333,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,183,0,138
1659979416822,181,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1334,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,181,0,136
1659979416870,181,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1335,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,181,0,138
1659979416918,179,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1336,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,179,0,136
1659979416975,177,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1337,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,176,0,134
1659979417023,179,POST Submit Survey,400,Bad Request,POST Submit Survey 1-1338,text,false,Test failed: text expected to contain /answerDate/,1177,431,4,4,https://boschdex.com/services/esurvey/api/public/user-answers/batch,179,0,136
